Title,Content,Site-Name,Sector,Country
International Edition,"Southeast Asia’s third largest lender United Overseas Bank (UOB) laid out its interim and 2050 decarbonisation targets for six top polluting sectors on Monday. Among its wider commitments, it pledged to stop financing upstream oil and gas projects approved for development after 2022, the first bank in Asia to do so. Net-zero targets for five other sectors, including power, automotive, real estate, construction and steel, were unveiled. The six sectors make up 60 per cent of the bank’s corporate lending portfolio, and are seen as critical to emissions reduction. Upstream oil and gas activities generally include raw material drilling, extraction and production, while downstream projects involve post-production processes. Speaking at a press conference held on the same day of the announcement, Eric Lim, UOB’s chief sustainability officer, said that its commitment with regards to the oil and gas sector is in line with calls from international bodies such as the United Nations-backed Intergovernmental Panel on Climate Change (IPCC) and the International Energy Agency, that the world cease development of new fossil fuel resources. The bank, which said in 2019 that it had stopped funding coal-fired power plants, now also commits to extend this to the entire thermal coal sector by 2039 – the same year that rival DBS Bank pledged to be coal-free in a declaration made last year. It now already has in place prohibitions on new project financing of greenfield or expansion of coal-fired power plants and thermal coal mines. Elaborating on the bank’s decision to cease immediate funding for new upstream oil and gas projects, a rare one in Asia as many financial institutions in the region continue to back gas development, Lim said that research conducted showed wide variance in net-zero aligned pathways for the sector. In Malaysia, for example, there are pathways suggesting a reduction of financing by 39 per cent, while other pathways indicate a need to increase oil and gas financing by as much as 59 per cent, and all these were globally-accepted pathways. “What that told us was, within the region, we have not, as a collective community, figured out the most effective way towards transitioning out of oil and gas in a way that countries can execute,” he said. UOB, hence, has decided that it would “make the strongest commitment it knows how to make, which is that of limiting new supply,” said Lim, adding that the bank will continue to work with regional and national stakeholders to figure out “the right oil and gas pathways” that can truly support decarbonisation. According to statistics provided in its latest trading update, as of September 30, outstanding loans to the oil and gas industries make up 4 per cent of UOB’s total loans. Its exposure is largely to downstream traders which are mainly national oil companies and global firms, with S$9.3 billion (US$6.6 billion) in outstanding loans being made to these players. S$2.4 billion (US$1.7 billion) in outstanding loans are to upstream industries. UOB did not disclose additional statistics on the status of its portfolios for coal, oil and gas, as well as renewables, when probed, though Lim highlights a metric for avoided greenhouse gas emissions that the bank looks at, which reflects how its solar financing portfolio has contributed to emissions reductions. “The pace at which sustainable financing is growing compared to financing of activities of the old economy is also growing, multiple times faster,” he said. UOB laid out interim and 2050 targets to reduce emission intensity across six sectors on Monday. (Left to right) Frederick Chin, head, group wholesale banking and markets; Wee Ee Cheong, deputy chairman and chief executive officer; Eric Lim, chief sustainability officer, and Chan Kok Seong, chief risk officer, at the media conference, held at UOB Plaza. Image: UOB UOB is the second bank in the region to set out emission targets to meet its net-zero commitments by 2050 after DBS made a similar announcement last month. The pledges reflect how financial institutions in Southeast Asia are pushing ahead with decarbonisation goals, despite weakened resolve among the world’s biggest banks to commit to a net-zero future. According to reports, major banks including JPMorgan Chase & Co. and Morgan Stanley are considering leaving the Glasgow Financial Alliance for Net Zero (GFANZ), a coalition of about 500 financial sector entities. The moves have been characterised by the media as banks “quiet quitting” on net zero, as misgivings towards strict legal requirements increase, and institutions worry that they may have jumped on the bandwagon too soon, especially as oil and gas are experiencing a market resurgence. For UOB, it has laid out targets to reduce emissions intensity across the energy and built environment ecosystems by between 20 and 61 per cent by 2030, and 85 and 100 per cent by 2050, against a 2021 baseline. The six sectors identified are most material to emissions reduction, said UOB, and they make up 60 per cent of the bank’s corporate lending portfolio. Image: UOB Emissions intensity is measured differently for each sector, and are measured against per unit of economic output or activity. UOB said that it wants to “support economic growth with the lowest carbon footprint possible”. The bank pledged to conduct annual reporting to track progress against its commitments. It will expand the scope of its targets to include additional sectors, for example agriculture, as data and climate scenarios become available. It also will join the Net-Zero Banking Alliance, a UN-supported coalition, as well as GFANZ Asia Pacific. Commenting on global developments, particularly tough economic circumstances in Europe that have led to companies letting their environmental priorities slip, Lim said that in Asia, the situation is different, and central banks in the region, including in Thailand, Malaysia and Indonesia, are starting to become more aggressive in pursuing net-zero goals. “There is recognition in the long run that we need to continue to support our decarbonisation efforts in this part of the world. We don’t see a pullback here. Even if you talk to hard-to-abate sectors, the writing on the wall is clear – we have to move towards net-zero,” he said. In a briefing note published last week, financial analytics firm S&P Global said that Singapore’s biggest lenders are doubling down on sustainable finance transactions, as they seek to support the government’s bid to become a green finance hub for Southeast Asia. The nation state recently committed to reach net-zero emissions by 2050. Wee Ee Cheong, deputy chairman and chief executive of UOB, who was present at the conference, emphasised the importance of an orderly and just transition within the regional context, and said that banks need to double down on transition financing to support their clients. “It will be a challenging journey for businesses, especially small and medium-sized enterprises. For example, they lack resources to collect environmental, social and governance (ESG) data. It is even more complex if the companies operate in multiple markets.” Your support helps keep our journalism independent and our content free for everyone to read. Join our community here.",ecobusiness,Oil and Gas,Singapore
ICLG - Oil & Gas Laws and Regulations -,"Singapore Chapter covers common issues in oil and gas laws and regulations – including development of oil and natural gas, import/export of natural gas, LNG, import/export of oil, transportation, transmission and distribution and foreign investment.  ICLG.com > Practice Areas > Oil & Gas Regulation > Singapore         1.1        A brief outline of your jurisdiction’s natural gas sector, including a general description of: natural gas reserves; natural gas production including the extent to which production is associated or non-associated natural gas; import and export of natural gas, including liquefied natural gas (“LNG”) liquefaction and export facilities, and/or receiving and re-gasification facilities (“LNG facilities”); natural gas pipeline transportation and distribution/transmission network; natural gas storage; and commodity sales and trading. Natural gas plays a significant role in meeting Singapore’s energy needs.  The share of natural gas in Singapore’s electricity generation fuel mix has increased significantly from 19% in 2000 to 94.9% in 2021, as gas-fired generators have replaced the oil-fired generators previously in use.  Singapore is a net importer of natural gas and does not produce or export natural gas.  Singapore does not have any known natural gas reserves.  Most of Singapore’s natural gas is imported from Indonesia and Malaysia through pipelines.  Singapore also imports liquified natural gas. The main players in the natural gas industry in Singapore include: The Energy Market Authority of Singapore (EMA) is the regulatory authority responsible for supervising the Singapore gas industry. 1.2        To what extent are your jurisdiction’s energy requirements met using natural gas (including LNG)? Please see the response to question 1.1. 1.3        To what extent are your jurisdiction’s natural gas requirements met through domestic natural gas production? Singapore does not have any known natural gas reserves. 1.4        To what extent is your jurisdiction’s natural gas production exported (pipeline or LNG)? Singapore does not have any known natural gas reserves. 2.1        Please provide a brief outline of your jurisdiction’s oil sector. Singapore is one of Asia’s major oil refining centres and trading hubs, with significant infrastructure for oil refining, storage and distribution.  Singapore does not have any known oil reserves. 2.2        To what extent are your jurisdiction’s energy requirements met using oil? In 2021, petroleum products, mainly in the form of diesel and fuel oil, accounted for 1.0% of Singapore’s electricity generation fuel mix. 2.3        To what extent are your jurisdiction’s oil requirements met through domestic oil production? Singapore does not have any known oil reserves. 2.4        To what extent is your jurisdiction’s oil production exported? Based on statistics published by the EMA, the bulk of energy imports and exports are petroleum products.  In 2021, these formed 60.3% of Singapore’s energy imports and 98.3% of energy exports while crude oil formed 32.2% and 1.7% of energy imports and exports, respectively. 3.1        Outline broadly the legal/statutory and organisational framework for the exploration and production (“development”) of oil and natural gas reserves including: principal legislation; in whom the State’s mineral rights to oil and natural gas are vested; Government authority or authorities responsible for the regulation of oil and natural gas development; and current major initiatives or policies of the Government (if any) in relation to oil and natural gas development. Singapore does not have any known oil or natural gas reserves. 3.2        How are the State’s mineral rights to develop oil and natural gas reserves transferred to investors or companies (“participants”) (e.g., licence, concession, service contract, contractual rights under Production Sharing Agreement?) and what is the legal status of those rights or interests under domestic law? Singapore does not have any known oil or natural gas reserves. 3.3        If different authorisations are issued in respect of different stages of development (e.g., exploration appraisal or production arrangements), please specify those authorisations and briefly summarise the most important (standard) terms (such as term/duration, scope of rights, expenditure obligations). Singapore does not have any known oil or natural gas reserves. 3.4        To what extent, if any, does the State have an ownership interest, or seek to participate, in the development of oil and natural gas reserves (whether as a matter of law or policy)? Singapore does not have any known oil or natural gas reserves. 3.5        How does the State derive value from oil and natural gas development (e.g., royalty, share of production, taxes)? Singapore does not have any known oil or natural gas reserves. 3.6        Are there any restrictions on the export of production? Singapore does not have any known oil or natural gas reserves. 3.7        Are there any currency exchange restrictions, or restrictions on the transfer of funds derived from production out of the jurisdiction? Singapore does not have any known oil or natural gas reserves. 3.8        What restrictions (if any) apply to the transfer or disposal of oil and natural gas development rights or interests? Singapore does not have any known oil or natural gas reserves. 3.9        Are participants obliged to provide any security or guarantees in relation to oil and natural gas development? Singapore does not have any known oil or natural gas reserves. 3.10      Can rights to develop oil and natural gas reserves granted to a participant be pledged for security, or booked for accounting purposes under domestic law? Singapore does not have any known oil or natural gas reserves. 3.11      In addition to those rights/authorisations required to explore for and produce oil and natural gas, what other principal Government authorisations are required to develop oil and natural gas reserves (e.g., environmental, occupational health and safety) and from whom are these authorisations to be obtained? Singapore does not have any known oil or natural gas reserves. 3.12      Is there any legislation or framework relating to the abandonment or decommissioning of physical structures used in oil and natural gas development? If so, what are the principal features/requirements of the legislation? Singapore does not have any known oil or natural gas reserves. 3.13      Is there any legislation or framework relating to gas storage? If so, what are the principal features/requirements of the legislation? There is no specific law or regulation dealing with gas storage.  General environmental, health and safety requirements may apply. 3.14      Are there any laws or regulations that deal specifically with the exploration and production of unconventional oil and gas resources? If so, what are their key features? There is no specific law or regulation dealing with the exploration and production of oil and gas reserves.  Singapore does not have any known oil or natural gas reserves. 3.15      What has been the impact, if any, of the “energy transition” on the oil and gas industry in your jurisdiction, and are there any policies or laws/regulations that require the oil and gas industry to decarbonise? Are there any policies or laws/regulations relating to the development of low-carbon hydrogen and its use in conjunction with or in place of natural gas, or the development of carbon capture and storage? There is no specific law or regulation relating to decarbonisation or the development of low-carbon alternatives or “energy transition”. Singapore is working towards halving its carbon emissions to 33 MtCO2e by 2050, with a view to achieving net zero as soon as viable in the second half of this century.  This is done by transforming Singapore’s energy supply (where natural gas will continue to be a dominant fuel for Singapore’s electricity generation, while scaling up other sources of energy, such as solar, tapping on regional power grids and exploring emerging low-carbon technologies such as hydrogen and carbon capture, utilisation and storage). Singapore had also passed the Energy (Resilience Measures and Miscellaneous Amendments) Bill in November 2021, which amended key energy related legislation, such as the Energy Market Authority of Singapore Act, Electricity Act and Gas Act, to enable EMA to implement policies to support the energy transition (such as to reduce greenhouse gas emissions in the generation, transmission, import, export or supply of electricity), while ensuring the sustainability, security, and reliability of the power sector. 4.1        Outline any regulatory requirements, or specific terms, limitations or rules applying in respect of cross-border sales or deliveries of natural gas (including LNG). The Gas Act applies to regulate the import of gas into Singapore.  No person shall import gas into Singapore unless he is the holder of a gas importer licence. 5.1        Outline any regulatory requirements, or specific terms, limitations or rules applying in respect of cross-border sales or deliveries of oil and oil products. There are no specific regulatory requirements applicable to the import of oil and oil products into Singapore.  General environmental, health and safety requirements may apply. 6.1        Outline broadly the ownership, organisational and regulatory framework in relation to transportation pipelines and associated infrastructure (such as natural gas processing and storage facilities). The construction and operation of oil pipelines is not specifically regulated, apart from general environmental, health and safety requirements. As the sole gas transporter, PowerGas Limited is responsible under its licence for the planning, development, maintenance and operation of its onshore gas pipeline network.  It must also carry out all refurbishments and replacements of new investments in the network in accordance with the relevant statutory, licensing and other requirements. PowerGas Limited, as the sole gas transporter, has the right to install in, on, over or under any land, premises, street or waters any gas pipeline that is or will be part of its gas pipeline network, and to carry out any necessary or incidental activities. The Gas Network Code, which is implemented pursuant to the Gas Act, operates as a binding contract between PowerGas Limited and each relevant gas shipper, and establishes and governs the operation of the gas pipeline network. 6.2        What governmental authorisations (including any applicable environmental authorisations) are required to construct and operate oil and natural gas transportation pipelines and associated infrastructure? Please see the response to question 6.1. 6.3        In general, how does an entity obtain the necessary land (or other) rights to construct oil and natural gas transportation pipelines or associated infrastructure? Do Government authorities have any powers of compulsory acquisition to facilitate land access? Please see the response to question 6.1. 6.4        How is access to oil and natural gas transportation pipelines and associated infrastructure organised? Access to oil transportation pipelines is usually addressed by bilateral access agreements. With respect to gas pipelines, the Gas Act requires a person who owns or has control of a gas pipeline, gas pipeline network or onshore receiving facility designated by the EMA to provide access to the pipeline, network or facility without undue preference or discrimination.  A prospective user who is unable to negotiate access to the infrastructure can apply to the EMA for directions to secure rights of access to such infrastructure. In addition, if any person is unable to conclude an arrangement for the allocation of gas in any offshore gas pipeline, they may apply to the EMA, which may give directions to the applicant and every person whose gas is being conveyed through the offshore gas pipeline for a gas allocation arrangement to be made in respect of that pipeline to enter into an agreement for the allocation of gas in the offshore gas pipeline. 6.5        To what degree are oil and natural gas transportation pipelines integrated or interconnected, and how is co-operation between different transportation systems established and regulated? There is no integration or interconnection of oil and gas transportation pipelines.  PowerGas Limited, as the sole gas transporter, is responsible under its licence for the planning, development, maintenance and operation of its onshore gas pipeline network. 6.6        Outline any third-party access regime/rights in respect of oil and natural gas transportation and associated infrastructure. For example, can the regulator or a new customer wishing to transport oil or natural gas compel or require the operator/owner of an oil or natural gas transportation pipeline or associated infrastructure to grant capacity or expand its facilities in order to accommodate the new customer? If so, how are the costs (including costs of interconnection, capacity reservation or facility expansions) allocated? Please see the response to question 6.4. 6.7        Are parties free to agree the terms upon which oil or natural gas is to be transported or are the terms (including costs/tariffs which may be charged) regulated? Trade in oil and gas is usually completed under bilateral sale or supply contracts.  In relation to domestic gas contracts, the party must also apply for and obtain capacity rights from PowerGas Limited (as the sole gas transporter) to have the right to have gas transported through the gas pipeline network. 7.1        Outline broadly the ownership, organisational and regulatory framework in relation to the natural gas transmission/distribution network. Please see the response to question 6.1. 7.2        What governmental authorisations (including any applicable environmental authorisations) are required to operate a distribution network? Please see the response to question 6.1. 7.3        How is access to the natural gas distribution network organised? Please see the response to questions 6.1 and 6.4. 7.4        Can the regulator require a distributor to grant capacity or expand its system in order to accommodate new customers? Please see the response to question 6.4. 7.5        What fees are charged for accessing the distribution network, and are these fees regulated? The EMA regulates prices to be charged by a gas transporter for the conveyance of gas through a gas pipeline or gas pipeline network. 7.6        Are there any restrictions or limitations in relation to acquiring an interest in a gas utility, or the transfer of assets forming part of the distribution network (whether directly or indirectly)? Certain restrictions on controlling interests apply to a gas transporter, a gas transport agent, an LNG terminal operator and any other gas licensee declared by the Minister to be a designated gas licensee for the purposes of such provisions of the Gas Act which relate to the control of gas licensees and entities with interest in the gas pipeline network (Designated Entity).  In particular, no person (whether alone or with associates) is permitted to hold or be able to control 12% or more or 30% or more of the equity interest or voting power in a Designated Entity.  Additionally, the EMA must be notified in writing when any person becomes a substantial equity interest holder (5% or more of the equity interest or voting power) of a Designated Entity. 8.1        Outline broadly the ownership, organisational and regulatory framework in relation to natural gas trading. Please include details of current major initiatives or policies of the Government or regulator (if any) relating to natural gas trading. Please see the response to question 6.7. The EMA is in the process of developing a secondary gas trading market. 8.2        What range of natural gas commodities can be traded? For example, can only “bundled” products (i.e., the natural gas commodity and the distribution thereof) be traded? Please see the response to question 6.7. There are no specific regulatory requirements or restrictions applicable. 9.1        Outline broadly the ownership, organisational and regulatory framework in relation to LNG facilities. Under the Gas Act, no person may manage or operate any LNG terminal (being a facility located onshore or in Singapore waters which is used to receive, store or gasify LNG that is imported into Singapore and at which certain prescribed activities are carried out in relation to any LNG received at the facility) unless it holds an LNG terminal operator’s licence.  Currently Singapore LNG Corporation Pte Ltd is the only LNG Terminal Operator licensee in Singapore.  A LNG Terminal Operator licensee is subject to the provisions of the Gas Act and the conditions of the licence – this includes restrictions on controlling interests.  Please see the response to question 7.6. 9.2        What governmental authorisations are required to construct and operate LNG facilities? Please see the response to question 9.1.  General building and construction, environmental, health and safety requirements may also apply. 9.3        Is there any regulation of the price or terms of service in the LNG sector? The EMA regulates the price margin that LNG aggregators may impose to protect end-users from being subject to any potential abuse by the LNG aggregators of their dominant position. 9.4        Outline any third-party access regime/rights in respect of LNG facilities. The Singapore LNG Terminal is an open-access facility, and access is usually addressed by bilateral access agreements. 10.1      Outline broadly the regulatory framework in relation to the downstream oil sector. Singapore does not have any known natural oil reserves and does not have a specific regulatory framework relating to the downstream oil sector. 10.2      Outline broadly the ownership, organisation and regulatory framework in relation to oil trading. Singapore does not have any known natural oil reserves and does not have a specific regulatory framework relating to oil trading. 11.1      Which governmental authority or authorities are responsible for the regulation of competition aspects, or anti-competitive practices, in the oil and natural gas sector? The EMA has various powers under the Gas Act to investigate and enforce anti-competition measures in the natural gas sector. The general anti-competition regime (under the Competition Act) would apply to the oil sector (and possibly the natural gas sector), which is overseen by the Competition and Consumer Commission of Singapore (CCCS). 11.2      To what criteria does the regulator have regard in determining whether conduct is anti-competitive? There is no prescribed criteria and general competition law principles would apply. 11.3      What power or authority does the regulator have to preclude or take action in relation to anti-competitive practices? The EMA has various powers under the Gas Act to investigate and enforce anti-competition measures in the natural gas sector, including in respect of agreements preventing, restricting or distorting competition and abuse of a dominant position.  These include powers to investigate, enter premises under warrant, give directions to bring the infringement to an end and impose a financial penalty of an amount not exceeding $1 million or 10% of the annual turnover of such person’s business in Singapore, ascertained from its latest audited accounts, whichever is the higher. The CCCS has various powers under the Competition Act in respect of anti-competition measures, including in respect of the abuse of a dominant position.  If the CCCS has made a decision that there has been an infringement of Section 47 of the Competition Act which prohibits the abuse of a dominant position, the CCCS may direct that the infringement be brought to an end (and where necessary, specify a particular course of action to eliminate the harmful effect of such infringement and to prevent the recurrence of such infringement).  Such direction by the CCCS may include, but is not limited to, requiring the person concerned to modify or cease the conduct.  The CCCS may also, under Sections 69(3) and 69(4) of the Competition Act, impose a financial penalty of up to 10% of the turnover of the business of the relevant undertaking in Singapore for each year of infringement for a period of up to a maximum of three years, if the CCCS is satisfied that the infringement has been committed intentionally or negligently. 11.4      Does the regulator (or any other Government authority) have the power to approve/disapprove mergers or other changes in control over businesses in the oil and natural gas sector, or proposed acquisitions of development assets, transportation or associated infrastructure or distribution assets? If so, what criteria and procedures are applied? How long does it typically take to obtain a decision approving or disapproving the transaction? Please see the response to question 3.6. 12.1      Are there any special requirements or limitations on acquisitions of interests in the natural gas sector (whether development, transportation or associated infrastructure, distribution or other) by foreign companies? There are no specific foreign shareholding or investment restrictions in the natural gas sector. 12.2      To what extent is regulatory policy in respect of the oil and natural gas sector influenced or affected by international treaties or other multinational arrangements? There are no specific requirements relating to international treaties and multinational arrangements under regulatory policy in the oil and natural gas sector. 13.1      Provide a brief overview of compulsory dispute resolution procedures (statutory or otherwise) applying to the oil and natural gas sector (if any), including procedures applying in the context of disputes between the applicable Government authority/regulator and: participants in relation to oil and natural gas development; transportation pipeline and associated infrastructure owners or users in relation to the transportation, processing or storage of natural gas; downstream oil infrastructure owners or users; and distribution network owners or users in relation to the distribution/transmission of natural gas. There are no compulsory dispute resolution procedures applicable to the oil sector. For the natural gas sector, there are generally no compulsory dispute resolution procedures applicable.  However, under the Gas Network Code, which operates as a binding contract between PowerGas Limited and each relevant gas shipper, and establishes and governs the operation of the gas pipeline network, certain prescribed dispute resolution procedures apply in respect of disputes arising out of or in connection with the Gas Network Code, the contract between PowerGas Limited and each relevant gas shipper or an ancillary agreement offered by PowerGas Limited and a gas shipper setting out further terms of their gas transportation arrangement. 13.2      Is your jurisdiction a signatory to, and has it duly ratified into domestic legislation: the New York Convention on the Recognition and Enforcement of Foreign Arbitral Awards; and/or the Convention on the Settlement of Investment Disputes between States and Nationals of Other States (“ICSID”)? Singapore is a signatory to the New York Convention and ICSID. 13.3      Is there any special difficulty (whether as a matter of law or practice) in litigating, or seeking to enforce judgments or awards, against Government authorities or State organs (including any immunity)? No, civil proceedings can be commenced against government authorities in Singapore. The Gas Act also sets out certain statutory remedies.  A person aggrieved by any decision of the EMA in the exercise of any discretion vested in it by or under the Gas Act (except for certain exceptions) or any direction issued by the EMA under the Gas Act, may, except where provision has been made under the Gas Act for an appeal to be made to an Appeal Panel, appeal to the Minister, who may determine such appeal. 13.4      Have there been instances in the oil and natural gas sector when foreign corporations have successfully obtained judgments or awards against Government authorities or State organs pursuant to litigation before domestic courts? We are not aware of any past instances of such judgments or awards. 14.1      Have there been any new regulatory or policy initiatives in your jurisdiction directly in response to the recent rise in global oil and gas prices (such as price caps, subsidies or a new focus on local sources of energy)? There have not been any new regulations enacted.  In terms of policies, to enhance Singapore’s energy security and resilience, EMA put in place a set of measures in October 2021 to help ensure that Singapore’s overall gas supplies remain sufficient.  The energy security measures have been extended until 31 March 2023.  These measures include: 14.2      Please provide, in no more than 300 words, a summary of any new cases, trends and developments in Oil and Gas Regulation Law in your jurisdiction (other than anything already discussed above). This is not applicable.    Kelvin Wong   Allen & Gledhill    Yeo Kiat   Allen & Gledhill    Allen & Gledhill    The International Comparative Legal Guides and the International Business Reports are published by: Global Legal Group This publication is invaluable when I am assisting clients in foreign jurisdictions. Not only does the guide provide answers with respect to the most important issues (more than once, the information available in the guide has enabled my clients to reach favorable settlements), it also provides contact details to lawyers who are able to provide in-depth advice and carry out necessary actions.Kawin Mårtensson - MAQS Law Firm © 2002-2024 Copyright: ICLG.com | Privacy policy | Cookie policy",iclg,Oil and Gas,Singapore
Credits: Unsplash,"Earlier in June 2019, both Shell and ExxonMobil made important announcements, boosting confidence in Singaporeâs oil & gas (O&G) industry. ExxonMobil completed a 2-year expansion at its Singapore refinery in Jurong, while Shell increased its storage capacity at its Singapore Bukom refinery. A unit of Rex International, Lime Petroleum AS, also announced an agreement to acquire 30% of 2 drilling licenses in the Norwegian Sea. We have also seen reports of long-term charters for offshore-support vessels by majors and Engineering, Procurement & Construction (EPC) companies - fleet utilization seems to be improving although charter rates remain depressed. This is consistent with our conversations with various market participants, as well as observations from public filings of listed groups. What do these developments mean for SME business owners in the O&G/marine industries? We think that these could be signs that the industry is picking up and we believe that some financial institutions are noticing the increased activity as well. â â The above reasons make it challenging for relationship managers to evaluate the sustainability of the business, build confidence about customer repayments, and most importantly, to convince their credit committees. â â Fortunately, with the industry restructuring in its fifth year, prospects in 2019 for the âsurvivorsâ do not seem as bleak as compared to a couple of years ago. While the banks are still extremely cautious, some financial institutions are taking the lead in financing SMEs in this industry: In simple terms, a factoring arrangement involves a financial institution buying over invoices and collecting payment directly from the buyers. This allows the SME to unlock funds from its receivables to finance other transactions. The best part of such a structure is that the financing limit can usually grow quickly alongside the business volume of the SME. While the process can be cumbersome, we usually advise SMEs to use factoring facilities to complement other term loans that they may have. It is a good way to get the financing tap flowing again. These short-term facilities usually run between 1-6 months and rates may range from 1% to 5% per month (i.e. 12% to 60% per annum). Processing fees range from 2% to 5% of the amount disbursed. We would caution against using such loans to finance ongoing business since they are expensive, but if you have a small short-term financing gap to bridge, these loans can be very handy. Finally, if you have hard assets such as property or equipment, there are financiers in the market that will be able to unlock varying percentages (typically 50% to 80%) of the value by providing working capital loans secured by these assets. Rates range from 5.5% to 10% per annum, depending on the type and nature of the assets. â â Lendingpot operates a FREE business loan marketplace that connects SMEs to multiple lenders with only one application. These are only some of our lenders. The Business Loan Marketplace is completely free; we donât even take commissions from financial institutions in order to keep true to our promise to bring the best value and benefit the SMEs. â Lendingpot.sg operates a Business Loan Marketplace that allows an SME to connect to multiple lenders with just one application, allowing the SME to know who its prospective lenders are and the rates that they offer, in a very short time. â â  Lendingpot is Singapore's leading digital loan marketplace with a diverse network of 45 lenders to match your business funding needs.",lendingpot,Oil and Gas,Singapore
This content is no longer being updated.,"Singapore’s banks are funding a huge problemHow exposed are Singaporean banks to unburnable carbon?OCBC is Singapore’s dirtiest bankMore dirty deals in the pipelineWhy are Singapore’s banks fuelling the fire?Conclusion January 2018 If the world is to have an 80% chance of meeting its agreed goal of keeping global warming to below 2ºC, then 80% of fossil fuels worldwide must remain in the ground according to independent financial think tank Carbon Tracker. Yet despite pledges to take action on climate change, banks continue to fund the expansion of the fossil fuel industry. Failure to keep a lid on global warming would be an environmental and humanitarian disaster, but the economic impact would also be enormous. As Mark Carney, Governor of the Bank of England has repeatedly warned, investors face “potentially huge” losses from climate change action that could make vast reserves of oil, coal and gas “literally unburnable”. As the world moves to limit global warming, trillions of dollars of fossil fuel assets are at risk in the impending ‘carbon bubble’ according to Carbon Tracker’s founder Mark Campanale. Singapore’s 3 major banks – Oversea-Chinese Banking Corporation (OCBC), DBS Bank and United Overseas Bank (UOB) – are highly active overseas project finance investors in Asia Pacific and globally. Yet these banks seem to fly under the radar of studies examining dirty lending practices, lack of climate policy and failure to adopt industry standards such as the Equator Principles. Market Forces analysed data from IJGlobal, a leading online energy and infrastructure finance data service, relating to OCBC, DBS Bank and UOB’s lending to coal companies and projects since 2012. 22 deals worth US$2.41 billion were included in the analysis. 13 deals for coal-fired power stations totalled $1,409 million, while five coal port deals were worth $630 million and four focused on coal mining worth $372 million. Paiton Power Station, Indonesia. Funded by DBS. (Photo by CEphoto, Uwe Aranas) OCBC has participated in 14 coal deals since 2012, lending $1,142 million: DBS Bank participated in 13 deals worth $1,007 million since 2012, five of which also involved OCBC: United Overseas Bank participated in five deals worth $262 million since 2012, all of which involved at least one other Singaporean bank: Of all the deals, the vast majority (19) consisted of finance for coal projects (known as project finance) whilst three financed companies (corporate finance). Eight deals consisted of newly established lending for the construction of seven coal-fired power projects. Ten deals were ‘refinancings’, whereby lenders renew existing debt for companies or projects that have typically already been built or are under construction. Three deals financed acquisitions of coal assets and one was additional debt to an existing project. The World Bank president, Jim Yong Kim, remarked last year that “if Vietnam goes forward with 40 GW of coal, if the entire region implements the coal-based plans right now, I think we are finished.” Despite this, DBS Bank has been named as part of a syndicate in three 1200MW coal-fired power plants in Vietnam – Nam Dinh 1, Nghi Son 2, and Vung Ang 2. OCBC is also involved in Nghi Son 2. Unless DBS moves to withdraw from these deals or institute a policy to restrict lending to coal power stations, as many other banks have around the world, it could find itself at the head of Singapore’s dirtiest banks. DBS is also a financial adviser for a number of planned coal-fired plants in Indonesia including the Jawa-6 (2000MW), Jawa-9 (1000MW) and Jawa-10 (1000MW) plants. Vung Ang 1 power station, Vietnam. DBS is involved in funding the 1,200MW Vung Ang 2 expansion. “Climate change is among the most pressing challenges of our time, and one that needs to be tackled urgently if we are to preserve the habitability of our planet. As a bank focused on ensuring sustainable development across Asia, we believe it is imperative that we contribute towards the fight against global warming by examining and reducing our own environmental footprint.” -Mike Power, Chief Operating Officer for Technology and Operations, DBS Bank, and co-chair of the bank’s Sustainability Council DBS in particular is outspoken on the need to take climate action. Unfortunately its rhetoric is not matched by action. The reality is that Singaporean banks’ policies are significantly weaker than their European and US peers. Analysis of commercial banks funding the expansion of coal-fired power globally, published in December by BankTrack, scored the coal power lending policies of 42 banks. The report did not consider DBS Bank, OCBC or United Overseas Bank so BankTrack retrospectively scored these institutions at Market Forces’ request. BankTrack found that, compared to their contemporaries in Europe and the US, the Singapore banks performed poorly. Singapore’s banks scored ‘D’ or ‘D-’ compared with mostly ‘B’ and ‘C’ grades for European and US banks (see scores below). A ‘D’ score indicates the bank employs ‘enhanced due diligence that applies to coal power,’ whereas ‘D-’ indicates a ‘general due diligence commitment’. In stark comparison to the Singaporean banks, BankTrack also found that 14 banks globally, all from the US and Europe, have ended direct financing of new coal plants worldwide. Additionally, unlike 92 of their global peers from 37 countries, none of the Singapore banks have adopted the Equator Principles, which provide a minimum standard for due diligence in financing projects such as coal power plants. Whilst it must be noted that renewable investments and pledges from Singaporean banks are a positive sign, the reality is that unless funding and support of polluting energy sources such as coal declines rapidly, this will not keep the world below two degrees of warming. Banks justify coal investments by rightly pointing out that communities need energy. However, with a rapidly improving economic outlook for wind and solar, including renewable energy already being cheaper than coal in many countries, investments in coal power serve little more than the companies seeking to build their old, dirty technology. Coal power also delivers costly ‘externalities’. In terms of air pollution alone, peer reviewed research from Harvard University published in January estimated that, by 2030, pollution related to coal will contribute to 19,220 deaths annually in Vietnam. Singapore positions itself as a global leader in terms of sustainability, yet its banks remain wedded to outdated, dirty energy. It’s time for change. Connect Contact Us Email: [email protected] CAMPAIGNS © Market Forces | Market Forces is an affiliate member of Friends of the Earth Australia (ABN: 18 110 769 501)",marketforces,Oil and Gas,Singapore
