Title,Content,Site-Name,Sector,Country
4 Singapore REITs with Dividend Yields Higher Than the CPF Ordinary Account and Singapore Savings Bonds,"4 Singapore REITs with Dividend Yields Higher Than the CPF Ordinary Account and Singapore Savings Bonds
Looking to earn higher returns than your CPF OA or SSB? These four REITs will provide you with that opportunity. The post 4 Singapore REITs with Dividend Yields Higher Than the CPF Ordinary Account and Singapore Savings Bonds appeared first on The Smart Investor.",Yahoo Finance,Logistics,Singapore
3 Singapore REITs That Recently Conducted Acquisitions to Increase Their DPU,"3 Singapore REITs That Recently Conducted Acquisitions to Increase Their DPU
Here are three REITs that conducted DPU-accretive acquisitions recently. The post 3 Singapore REITs That Recently Conducted Acquisitions to Increase Their DPU appeared first on The Smart Investor.",Yahoo Finance,Logistics,Singapore
SingPost sets three-year deadline for transformation into a logistics player,"SingPost sets three-year deadline for transformation into a logistics player
Dividend payout will be lowered to 30 to 50 per cent of underlying net profit for FY2024 to 2025 Read more at straitstimes.com.",The Straits Times,Logistics,Singapore
Ninja Van Holding Off on IPO Plans Until Profitability Improves,"Ninja Van Holding Off on IPO Plans Until Profitability Improves
Logistics provider Ninja Van has put plans for a stock market debut on the back burner, the latest sign of tech startups' struggles with falling valuations across the industry.",Bloomberg L.P.,Logistics,Singapore
FLCT to acquire 89.9% interest in 4 logistics assets in Germany from sponsor for $189 million,"FLCT to acquire 89.9% interest in 4 logistics assets in Germany from sponsor for $189 million
The acquisition is expected to be distribution per unit and net asset value accretive to the Reit. Read more at straitstimes.com.",The Straits Times,Logistics,Singapore
Blitz Raises Additional $1.6 Million in Oversubscribed Seed Extension Funding to Accelerate AI and EV Logistics Expansion Across Indonesia,"Blitz Raises Additional $1.6 Million in Oversubscribed Seed Extension Funding to Accelerate AI and EV Logistics Expansion Across Indonesia
JAKARTA, Indonesia, SINGAPORE and KUALA LUMPUR ... focusing on maximising driver income and job security while reducing the logistics industry's carbon footprint. As Blitz rapidly expands within Indonesia and sets its sights on SEA, plans include trading ...",Yahoo Finance,Logistics,Singapore
UPS expands operations in the Phillipines,"UPS expands operations in the Phillipines
Package carrier and supply chain solution provider UPS Inc. will expand its operations in the Philippines, taking the value of its total investment commitments in Asia Pacific to over $250 million since the start of 2023, the company said Thursday.",DC Velocity,Logistics,Singapore
Expert: Widening of service tax exemption scope for logistics sector a good sign,"Expert: Widening of service tax exemption scope for logistics sector a good sign
The widening of the 6% service tax exemption scope for the logistics sector is vital for Malaysia's vision of becoming the Asean transshipment hub, opined Datuk Seri Dr Michael Tio.",The Star,Logistics,Singapore
Daiwa House Logistics Trust maintains DPU S$0.0261 for H2,"Daiwa House Logistics Trust maintains DPU S$0.0261 for H2
DAIWA House Logistics Trust's (DHLT) distribution per unit (DPU) remained unchanged for the second half ended Dec 31, 2023, at 2.61 Singapore cents ... yen (S$28 million), supported by higher rental income due to a rise in occupancy, coupled with ...",Business Times,Logistics,Singapore
UPS Expands in Asia With Hub at Clark Airport in the Philippines,"UPS Expands in Asia With Hub at Clark Airport in the Philippines
Considering the fact that UPS has been doing business in the Philippines hub for more than 25 years, the new hub is expected to help UPS enhance its portfolio of integrated express, supply chain and healthcare logistics services. Additionally, UPS ...",MSN,Logistics,Singapore
Kuehne + Nagel to Buy Asia-Pacific Logistics Provider City Zone Express,"Kuehne + Nagel to Buy Asia-Pacific Logistics Provider City Zone Express
Singapore, Vietnam, Thailand, and China. The Swiss logistics company also announced earnings Friday, reporting a net profit of 283 million Swiss francs ($320 million) in the final quarter of 2023 ...",MSN,Logistics,Singapore
Looking for Passive Income? 5 Singapore Blue-Chips Paying Out Quarterly Dividends,"Looking for Passive Income? 5 Singapore Blue-Chips Paying Out Quarterly Dividends
Mapletree Logistics Trust ... Singapore Exchange Limited, or SGX, is Singapore's sole stock exchange operator. The bourse operator reported its fiscal 2024 first half (1H FY2024) earnings recently. Revenue rose 3.6% year on year to S$592.2 million ...",thesmartinvestor,Logistics,Singapore
Buy Rating on Mapletree Logistics Trust: Resilience Amidst Chinese Market Challenges,"Buy Rating on Mapletree Logistics Trust: Resilience Amidst Chinese Market Challenges
Jonathan Koh, an analyst from UOB Kay Hian, maintained the Buy rating on Mapletree Logistics (MAPGF - Research Report). The associated",Business Insider,Logistics,Singapore
3 Singapore REITs increased their DPUs,"3 Singapore REITs increased their DPUs
Mapletree Logistics Trust, or MLT ... See also 10 ways to start passive income investing to grow your money in Singapore This move enhances DCR's stake in a cutting-edge facility and promises to elevate its DPU by 3.2%. Additionally, with the facility ...",The Independent Singapore on MSN.com,Logistics,Singapore
FLCT to acquire 89.9% stake in 4 logistics properties from S$188.9M property purchase,"FLCT to acquire 89.9% stake in 4 logistics properties from S$188.9M property purchase
The property purchase worth S$188.9M brings substantial assets into its portfolio, enhancing its position in the logistics and industrial sector",The Independent Singapore on MSN.com,Logistics,Singapore
Where Will Sea Limited Stock Be in 5 Years?,"Where Will Sea Limited Stock Be in 5 Years?
The Singapore-based company ... in this area by expanding its logistics network, opening five new sorting centers and 385 new, first and last-mile sorting centers in the region. Additionally, on the fourth-quarter 2023 earnings call, the company announced ...",MSN,Logistics,Singapore
Ship lost power before crashing into bridge; 6 still missing,"Ship lost power before crashing into bridge; 6 still missing
A major bridge in Baltimore collapsed after being hit by a freighter at about 1:30 a.m. Tuesday, sending at least eight people from a construction crew into the water as a large section of the bridge",The Day,Logistics,Singapore
Cover Story 1: Preparing Capital A for take-off,"Cover Story 1: Preparing Capital A for take-off
This article first appeared in The Edge Malaysia Weekly on March 4, 2024 - March 10, 2024 PRIOR to running an airline, Tan Sri Tony Fernandes was known as an executive with an international recording company.",The Edge on MSN.com,Logistics,Singapore
"Director denied pay raise helps himself to over S$53,000 from company accounts, gets jail","Director denied pay raise helps himself to over S$53,000 from company accounts, gets jail
SINGAPORE: A director of several linked companies ... He handled company operations such as logistics, merchandising, retail operations, technology and finance. He was entrusted with the three ...",Channel NewsAsia Singapore,Logistics,Singapore
Live news: Cosco subsidiary cites weak global demand as profits plummet,"Live news: Cosco subsidiary cites weak global demand as profits plummet
The US will bring a UN security council resolution calling for an immediate ceasefire in Gaza of at least six weeks as part of a hostage deal for a vote on Friday, US officials said.",The Financial Times,Logistics,Singapore
FLCT to acquire 89.9% stake in 4 logistics properties from S$188.9M property purchase,"FLCT to acquire 89.9% stake in 4 logistics properties from S$188.9M property purchase
SINGAPORE: Frasers Logistics & Commercial Trust (FLCT ... is 4.4 years based on gross rental income (GRI). To finance the purchase, FLCT plans to utilise external debt financing.",The Independent Singapore,Logistics,Singapore
PSA International sees profit fall amid 'challenging market conditions',"PSA International sees profit fall amid 'challenging market conditions'
Company says it will continue to focus on expanding its core port business despite uncertainty in global trade",TradeWinds,Logistics,Singapore
SIA Group flies 28.2% more passengers in February; Sats makes acquisition in Sweden,"SIA Group flies 28.2% more passengers in February; Sats makes acquisition in Sweden
FLAG carrier Singapore Airlines (SIA) carried 3.1 million passengers on a group level in February, up 28.2 per cent from a year ago, it said in its operating results filed to the bourse on Friday (Mar 15).",Business Times,Logistics,Singapore
Linklogis Announces 2023 Annual Results: Maintaining the Largest Market Share in China for 4 Consecutive Years,"Linklogis Announces 2023 Annual Results: Maintaining the Largest Market Share in China for 4 Consecutive Years
Linklogis announced a new shareholder return plan, intending to enhance capital returns to shareholders through cash dividends and share repurchases. The board of directors of Linklogis proposes to pay a special dividend of HK$0.",Business Insider,Logistics,Singapore
Unlock AI Profits: How QCOM Stock Could Be Your Next Big Win,"Unlock AI Profits: How QCOM Stock Could Be Your Next Big Win
After all, QCOM stock allows you to participate in the artificial intelligence hardware market's growth, but without chasing a stock that already went parabolic.    With Qualcomm stock you'll get a decent dividend and exposure to a consistent earnings winner.",Investorplace News on MSN.com,Logistics,Singapore
"SIA Group flies 3.1 million passengers in February, up 28.2% from a year ago","SIA Group flies 3.1 million passengers in February, up 28.2% from a year ago
Stronger e-commerce flows also boosted SIA's cargo carriage to 432.3 million tonne-km, a year-on-year increase of 12.9%. Read more at straitstimes.com.",The Straits Times,Logistics,Singapore
"Singapore employers face talent shortage across all industries, women candidates in demand: Survey","Singapore employers face talent shortage across all industries, women candidates in demand: Survey
SINGAPORE: Singapore employers face talent shortages across all industries. The latest survey by ManpowerGroup,",The Independent Singapore,Logistics,Singapore
The mysterious rise of the Chinese ecommerce giant behind Temu,"The mysterious rise of the Chinese ecommerce giant behind Temu
Its finances are a black box and its operations shrouded in secrecy, but PDD's extraordinary growth has made it a darling of Wall Street",The Financial Times,Logistics,Singapore
"CMS Info Systems hires former Mphasis, Byju's executive to head operations","CMS Info Systems hires former Mphasis, Byju's executive to head operations
Puneet Bhirani will join CMS Info Systems as its president of operations. Before this, was the COO at Byjus for two years building and managing the hybrid learning business across 300+ centres.",Indiatimes,Logistics,Singapore
Accenture plc (NYSE:ACN) Q2 2024 Earnings Call Transcript,"Accenture plc (NYSE:ACN) Q2 2024 Earnings Call Transcript
Accenture plc (NYSE:ACN) Q2 2024 Earnings Call Transcript March 21 ... in marketing and customer experience with Rabbit's Tale in Thailand and [GIC] (ph) in Singapore, helping clients in Indonesia, capitalize on their fast-growing digital economy.",InvestingChannel on MSN.com,Logistics,Singapore
How Hard Is It To Move Your Business Abroad?,"How Hard Is It To Move Your Business Abroad?
Delve into the process of moving your business abroad and explore ways to facilitate a seamless transition when embarking on this adventure.",TechRound,Logistics,Singapore
3 Stocks Under $10 That Wall Street Sees More Than 100% Upside This Year,"3 Stocks Under $10 That Wall Street Sees More Than 100% Upside This Year
Since March 2023, the Dow Jones Industrial Average has surged from 31,800 to 38,900. During that 12-month stretch, some stocks, like Nvidia (NASDAQ: NVDA), have quadrupled, while others, like SunPower Corp.",24/7 Wall St on MSN.com,Logistics,Singapore
Live news: Russia targets Ukrainian energy in large-scale missile attack,"Live news: Russia targets Ukrainian energy in large-scale missile attack
Now the enemy is carrying out the largest-scale attack on the Ukrainian energy industry in recent times,"" said energy minister German Galushchenko. ""The goal is not just to damage, but to try again, like last year,",The Financial Times,Logistics,Singapore
Singapore Shipping Corp. Ltd.,"Singapore Shipping Corp. Ltd.
1 Day S19 0.00% DJIA 0.61% Russell 2K 0.65% Transportation/Logistics -1.21%",Wall Street Journal,Logistics,Singapore
Top Two Spot Occupied By Indian Firms In FT's Asia Pacific Top 500 High-Growth List,"Top Two Spot Occupied By Indian Firms In FT's Asia Pacific Top 500 High-Growth List
South Korea emerged as the leader in the number of high-growth companies, boasting 123 firms, followed by Japan and Singapore, with 101 and 93 companies, respectively",abp LIVE on MSN.com,Logistics,Singapore
Hong Kong shipping and logistics,"Hong Kong shipping and logistics
US electronic payment platform operator PayCargo is teaming up with local firm Autotoll to offer its solution to the logistics industry ... measures to boost income, cut expenditures and develop ...",scmp.com,Logistics,Singapore
