Title,Content,Site-Name,Sector,Country
"PetroChina's 2023 net income up 8.3% on strong fuel, gas sales","PetroChina's 2023 net income up 8.3% on strong fuel, gas sales
PetroChina's , net profit rose 8.3% last year off record levels in 2022, as strong growth in natural gas sales and its marketing segment offset lower realised oil prices.",Reuters,Oil and Gas,Singapore
Sinopec's 2023 net income falls 9.9% in 'complicated environment',"Sinopec's 2023 net income falls 9.9% in 'complicated environment'
The world's largest oil refiner by capacity posted net income of 60.5 billion yuan (S$11.4 billion) Read more at straitstimes.com.",The Straits Times,Oil and Gas,Singapore
China's CNOOC files arbitration over Hess stake in Guyana oil block,"China's CNOOC files arbitration over Hess stake in Guyana oil block
SINGAPORE, (Reuters) - Chinese offshore oil and gas major CNOOC said it had filed ... CNOOC's board of directors secretary, told an earnings briefing late on Thursday.",Stabroek News,Oil and Gas,Singapore
"3 Undervalued Oil & Gas - Integrated Stocks for Tuesday, March 26","3 Undervalued Oil & Gas - Integrated Stocks for Tuesday, March 26
Discover the top 3 undervalued Oil & Gas - Integrated stocks for Tuesday, March 26 based on AAII's Stock Grades.",American Association of Individual Investors,Oil and Gas,Singapore
China Aviation Oil (Singapore) Full Year 2023 Earnings: EPS Beats Expectations,"China Aviation Oil (Singapore) Full Year 2023 Earnings: EPS Beats Expectations
Net income: US$58.9m (up 76% from ... compared to a 1.8% decline forecast for the Oil and Gas industry in Asia. Performance of the market in Singapore. The company's shares are down 3.2% from ...",Yahoo Finance,Oil and Gas,Singapore
TotalEnergies Inks Long-Term Deal to Supply LNG to Sembcorp,"TotalEnergies Inks Long-Term Deal to Supply LNG to Sembcorp
According to TotalEnergies' most recent earnings release, the company's fourth-quarter 2023 production for oil and gas was 2,462 ... by higher power prices in Singapore. Wong Kim Yin, Group ...",Rigzone,Oil and Gas,Singapore
Why oil supply shocks are not like the 1970s any more,"Why oil supply shocks are not like the 1970s any more
The ""World Energy Outlook"" published that autumn by the IEA, an intergovernmental organisation which brings together big energy-consuming countries, proclaimed that the invasion's impact on oil and gas markets had brought about the world's ""first truly global energy crisis,",The Economist,Oil and Gas,Singapore
Shell weakens climate targets with growing bet on gas,"Shell weakens climate targets with growing bet on gas
Shell weakened a 2030 carbon reduction target and scrapped a ""perilous"" 2035 objective, citing expectations for strong gas demand and uncertainty in the energy",ThePrint,Oil and Gas,Singapore
China CNOOC's 2023 profit falls 12.6% after record 2022,"China CNOOC's 2023 profit falls 12.6% after record 2022
The state-controlled offshore oil ... on gas exploration, and forecast steady growth in both reserves and production. CNOOC's Hong Kong-listed shares closed up 0.77% before the earnings release ...",Reuters,Oil and Gas,Singapore
China's CNOOC files arbitration over Hess stake in Guyana oil block,"China's CNOOC files arbitration over Hess stake in Guyana oil block
Chinese offshore oil and gas major CNOOC said it had filed an arbitration claim to establish a right over Hess' stake in the giant Guyana oilfield Stabroek in the event of the U.S. firm's sale to Chevron.",Reuters on MSN.com,Oil and Gas,Singapore
Shell waters down 2030 carbon emissions target in latest fossil fuel industry backslide,"Shell waters down 2030 carbon emissions target in latest fossil fuel industry backslide
The company reported a net profit of $28 billion in 2023 on the back of strong liquefied natural gas and oil sales, which were still down 30% from the previous year's record earnings.",CNN,Oil and Gas,Singapore
Magnolia Oil & Gas Corp (MGY) Up 12.5% Since Last Earnings Report: Can It Continue?,"Magnolia Oil & Gas Corp (MGY) Up 12.5% Since Last Earnings Report: Can It Continue?
It has been about a month since the last earnings report for Magnolia Oil & Gas Corp (MGY). Shares have added about 12.5% in that time frame, outperforming the S&P 500. Will the recent positive trend continue leading up to its next earnings release ...",雅虎財經,Oil and Gas,Singapore
Why Qatar's liquefied natural gas expansion may offer short-term environmental gains,"Why Qatar's liquefied natural gas expansion may offer short-term environmental gains
Qatar's decision to increase its liquefied natural gas production capacity may help emerging Asian economies reduce their dependency on coal, resulting in short-term environmental gains, analysts say.",MSN,Oil and Gas,Singapore
European Midday Briefing: Investors Face Busy Week of Central Bank Decisions,"European Midday Briefing: Investors Face Busy Week of Central Bank Decisions
which sparked a fire at an oil refinery and disrupted some electricity supplies, as well as strong refining activity in some major Asian countries further buoying market optimism, according to ING. European natural-gas prices traded higher on concerns over ...",Morningstar,Oil and Gas,Singapore
Cover Story: UOB Malaysia achieves record income + profitability in 2023,"Cover Story: UOB Malaysia achieves record income + profitability in 2023
This article first appeared in The Edge Malaysia Weekly on March 11, 2024 - March 17, 2024 NG Wei Wei, CEO of United Overseas Bank (Malaysia) Bhd (UOB Malaysia), has had two busy but eventful years at the bank.",The Edge on MSN.com,Oil and Gas,Singapore
"Insider Moves: Top Glove Corp Bhd, Dayang Enterprise Holdings Bhd, Meta Bright Group Bhd, Leong Hup International Bhd, Cape EMS Bhd","Insider Moves: Top Glove Corp Bhd, Dayang Enterprise Holdings Bhd, Meta Bright Group Bhd, Leong Hup International Bhd, Cape EMS Bhd
This article first appeared in Capital, The Edge Malaysia Weekly on March 11, 2024 - March 17, 2024Notable filings  From Feb 26 to March 1, notable shareholding changes at Bursa Malaysia-listed companies included that at Top Glove Corp Bhd.",The Edge on MSN.com,Oil and Gas,Singapore
16 Best Places Across the World to Raise Kids,"16 Best Places Across the World to Raise Kids
While many American families have difficulty envisioning raising kids outside the United States, others look to other parts of the world and see opportunities to give their children new, unique experiences.",budgetandinvest on MSN.com,Oil and Gas,Singapore
